,datasetid,recordid,fields,geometry,record_timestamp
0,centros-educativos-en-valencia,54ff18560395e7b333d244c4fdd1eefef99d3c64,"{'telef': '963635262', 'codcen': '46002301', 'despecific': 'NATIVIDAD DE NUESTRA SEÑORA', 'provincia': 'València', 'geo_shape': {'coordinates': [-0.41317, 39.50261499907377], 'type': 'Point'}, 'dlibre': 'CENTRE PRIVAT NATIVIDAD DE NUESTRA SEÑORA', 'dgenerica': ""CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA"", 'codpos': '46100', 'regimen': 'CONCERTADO', 'direccion': 'CL. ESPARTERO, 2', 'municipio': 'Burjassot', 'mail': 'natividad@planalfa.es', 'fax': '963634802', 'geo_point_2d': [39.50261499907377, -0.41316999999999976]}","{'type': 'Point', 'coordinates': [-0.41316999999999976, 39.50261499907377]}",2022-02-23T09:49:39.941+01:00
1,centros-educativos-en-valencia,4902f99b12d339ac74d6155bcca262313e011953,"{'telef': '962566390', 'codcen': '46009009', 'despecific': 'MANUEL GONZÁLEZ MARTÍ', 'provincia': 'València', 'geo_shape': {'coordinates': [-0.380702, 39.5302359990736], 'type': 'Point'}, 'dlibre': 'CEIP MANUEL GONZÁLEZ MARTÍ', 'dgenerica': ""COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA"", 'codpos': '46016', 'regimen': 'PÚBLICO', 'direccion': 'CL. ALQUERIA GILET, S/N', 'municipio': 'València', 'mail': '46009009@edu.gva.es', 'fax': '962566391', 'geo_point_2d': [39.5302359990736, -0.3807020000000016]}","{'type': 'Point', 'coordinates': [-0.3807020000000016, 39.5302359990736]}",2022-02-23T09:49:39.941+01:00
2,centros-educativos-en-valencia,e4d15637c813b90cb0e905fc0d4f6d1ff7b9c23c,"{'telef': '963730103', 'codcen': '46009368', 'despecific': 'MARTÍ SOROLLA', 'provincia': 'València', 'geo_shape': {'coordinates': [-0.375166, 39.45169899907408], 'type': 'Point'}, 'dlibre': 'CENTRE PRIVAT MARTÍ SOROLLA', 'dgenerica': ""CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA"", 'codpos': '46026', 'regimen': 'CONCERTADO', 'direccion': 'CL. INGENIERO JOAQUÍN BENLLOCH, 45', 'municipio': 'València', 'mail': 'ftortosa@gruposorolla.es', 'fax': '963730150', 'geo_point_2d': [39.45169899907408, -0.37516600000000083]}","{'type': 'Point', 'coordinates': [-0.37516600000000083, 39.45169899907408]}",2022-02-23T09:49:39.941+01:00
3,centros-educativos-en-valencia,f2bed830dae0763541a19ca89f5f14b94b39c357,"{'telef': '963915800', 'codcen': '46009371', 'despecific': 'ESCUELAS PÍAS', 'provincia': 'València', 'geo_shape': {'coordinates': [-0.382322, 39.47401799907396], 'type': 'Point'}, 'dlibre': 'CENTRE PRIVAT ESCUELAS PÍAS', 'dgenerica': ""CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA"", 'codpos': '46001', 'regimen': 'CONCERTADO', 'direccion': 'CL. CARNICEROS, 6', 'municipio': 'València', 'mail': 'colegio.sanjoaquin@escolapiosbetania.es', 'fax': '963915876', 'geo_point_2d': [39.47401799907396, -0.3823219999999999]}","{'type': 'Point', 'coordinates': [-0.3823219999999999, 39.47401799907396]}",2022-02-23T09:49:39.941+01:00
4,centros-educativos-en-valencia,f99dc2c01964653d1ca3fe6a699eb1c4ab75d3f9,"{'telef': '963918434', 'codcen': '46009526', 'despecific': 'ESCOLANÍA NTRA.SRA.DESAMPARADOS', 'provincia': 'València', 'geo_shape': {'coordinates': [-0.371341, 39.47543999907394], 'type': 'Point'}, 'dlibre': 'CENTRE PRIVAT ESCOLANÍA NTRA.SRA.DESAMPARADOS', 'dgenerica': ""CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA"", 'codpos': '46003', 'regimen': 'CONCERTADO', 'direccion': 'CL. GOBERNADOR VIEJO, 23', 'municipio': 'València', 'mail': 'valencia@escolania.org', 'fax': '0', 'geo_point_2d': [39.47543999907394, -0.3713410000000003]}","{'type': 'Point', 'coordinates': [-0.3713410000000003, 39.47543999907394]}",2022-02-23T09:49:39.941+01:00
5,centros-educativos-en-valencia,c2adc8e60635553fbc5d1743481fc6c666dc4647,"{'telef': '963325044', 'codcen': '46009666', 'despecific': 'LOS ÁNGELES', 'provincia': 'València', 'geo_shape': {'coordinates': [-0.36772, 39.466579999074014], 'type': 'Point'}, 'dlibre': 'CENTRE PRIV. ED. INFANTIL LOS ÁNGELES', 'dgenerica': ""CENTRE PRIVAT D'EDUCACIÓ INFANTIL"", 'codpos': '46005', 'regimen': 'CONCERTADO', 'direccion': 'CL. JOAQUIN COSTA, 10', 'municipio': 'València', 'mail': 'ceilosangeles@hotmail.com', 'fax': '963325044', 'geo_point_2d': [39.466579999074014, -0.3677200000000009]}","{'type': 'Point', 'coordinates': [-0.3677200000000009, 39.466579999074014]}",2022-02-23T09:49:39.941+01:00
6,centros-educativos-en-valencia,5a5f45e4f67d88c4e90660f01b157252e30614d7,"{'telef': '963333269', 'codcen': '46009824', 'despecific': 'SAN LUIS GONZAGA', 'provincia': 'València', 'geo_shape': {'coordinates': [-0.368654, 39.457824999074056], 'type': 'Point'}, 'dlibre': 'CENTRE PRIVAT SAN LUIS GONZAGA', 'dgenerica': ""CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA"", 'codpos': '46006', 'regimen': 'CONCERTADO', 'direccion': 'CL. ZAPADORES, 30', 'municipio': 'València', 'mail': 'tslgdireccion@gmail.com', 'fax': '963333269', 'geo_point_2d': [39.457824999074056, -0.3686539999999997]}","{'type': 'Point', 'coordinates': [-0.3686539999999997, 39.457824999074056]}",2022-02-23T09:49:39.941+01:00
7,centros-educativos-en-valencia,fb129d6a6f69126a9b8ebdc135ee6f49ad2147f2,"{'telef': '963776464', 'codcen': '46009964', 'despecific': 'LUIS DE SANTÁNGEL', 'provincia': 'València', 'geo_shape': {'coordinates': [-0.387137, 39.45221099907406], 'type': 'Point'}, 'dlibre': 'CENTRE PRIVAT LUIS DE SANTÁNGEL', 'dgenerica': ""CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA"", 'codpos': '46017', 'regimen': 'CONCERTADO', 'direccion': 'CL. CARRICOLA, 7', 'municipio': 'València', 'mail': 'luisdesantangel@gmail.com', 'fax': '963776464', 'geo_point_2d': [39.45221099907406, -0.38713699999999956]}","{'type': 'Point', 'coordinates': [-0.38713699999999956, 39.45221099907406]}",2022-02-23T09:49:39.941+01:00
8,centros-educativos-en-valencia,df9efcdaa3f45cfcd239f5bed7b97d67f032e2c9,"{'telef': '963571411', 'codcen': '46010061', 'despecific': 'CONCHA ESPINA I', 'provincia': 'València', 'geo_shape': {'coordinates': [-0.388287, 39.45369999907407], 'type': 'Point'}, 'dlibre': 'CENTRE PRIV. ED. INFANTIL CONCHA ESPINA I', 'dgenerica': ""CENTRE PRIVAT D'EDUCACIÓ INFANTIL"", 'codpos': '46017', 'regimen': 'CONCERTADO', 'direccion': 'CL. CARTERS, 22-24', 'municipio': 'València', 'mail': 'secretaria@conchaespina.com', 'fax': '963579042', 'geo_point_2d': [39.45369999907407, -0.38828700000000127]}","{'type': 'Point', 'coordinates': [-0.38828700000000127, 39.45369999907407]}",2022-02-23T09:49:39.941+01:00
9,centros-educativos-en-valencia,5e636099d81becaabce71a506775ad8619d0e3fb,"{'telef': '963851609', 'codcen': '46010191', 'despecific': 'ESCLAVAS DE MARÍA', 'provincia': 'València', 'geo_shape': {'coordinates': [-0.39296, 39.465461999074], 'type': 'Point'}, 'dlibre': 'CENTRE PRIVAT ESCLAVAS DE MARÍA', 'dgenerica': ""CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA"", 'codpos': '46018', 'regimen': 'CONCERTADO', 'direccion': 'CL. AYORA, 24', 'municipio': 'València', 'mail': 'secretaria@colegioesclavasdemaria.org', 'fax': '963856888', 'geo_point_2d': [39.465461999074, -0.3929600000000004]}","{'type': 'Point', 'coordinates': [-0.3929600000000004, 39.465461999074]}",2022-02-23T09:49:39.941+01:00
